index,plant_id,tray_id,row,column,LFW_g,LDW_g,LA_g,,,,,,,,,,,,,,
1,1,1,1,1,1.30,0.078,31.95,,,,,,,,,,,,,,
2,3,1,1,3,2.10,0.148,44.1,,,,,,,,,,,,,,
3,5,1,1,5,3.36,0.196,67.61,,,,,,,,,,,,,,
4,7,1,1,7,3.07,0.184,66.98,,,,,,,,,,,,,,
5,9,1,1,9,3.17,0.187,68.74,,,,,,,,,,,,,,
6,11,1,1,11,1.82,0.115,40.97,,,,,,,,,,,,,,
7,13,1,2,2,3.12,0.181,70.73,,,,,,,,,,,,,,
8,15,1,2,4,1.38,0.085,34.26,,,,,,,,,,,,,,
9,17,1,2,6,2.03,0.119,45.79,,,,,,,,,,,,,,
10,19,1,2,8,2.15,0.126,49.27,,,,,,,,,,,,,,
11,21,1,2,10,3.54,0.207,75.11,,,,,,,,,,,,,,
12,1,2,1,1,2.02,0.138,46.01,,,,,,,,,,,,,,
13,3,2,1,3,1.19,0.093,31.23,,,,,,,,,,,,,,
14,5,2,1,5,3.66,0.209,75.89,,,,,,,,,,,,,,
15,7,2,1,7,1.47,0.11,35.17,,,,,,,,,,,,,,
16,9,2,1,9,2.46,0.149,55.31,,,,,,,,,,,,,,
17,11,2,1,11,1.79,0.112,44.05,,,,,,,,,,,,,,
18,13,2,2,2,2.23,0.138,49.23,,,,,,,,,,,,,,
19,15,2,2,4,2.54,0.151,54.29,,,,,,,,,,,,,,
20,17,2,2,6,3.70,0.208,74.91,,,,,,,,,,,,,,
21,19,2,2,8,3.00,0.175,63.31,,,,,,,,,,,,,,
22,21,2,2,10,2.14,0.125,47.36,,,,,,,,,,,,,,
23,1,3,1,1,3.30,0.198,69.12,,,,,,,,,,,,,,
24,3,3,1,3,2.29,0.142,51.52,,,,,,,,,,,,,,
25,5,3,1,5,2.44,0.144,55.33,,,,,,,,,,,,,,
26,7,3,1,7,3.23,0.186,67.89,,,,,,,,,,,,,,
27,9,3,1,9,2.64,0.161,59.4,,,,,,,,,,,,,,
28,11,3,1,11,3.46,0.203,72.98,,,,,,,,,,,,,,
29,13,3,2,2,2.91,0.17,61.77,,,,,,,,,,,,,,
30,15,3,2,4,3.34,0.195,71.62,,,,,,,,,,,,,,
31,17,3,2,6,2.51,0.153,55.55,,,,,,,,,,,,,,
32,19,3,2,8,2.58,0.156,57.08,,,,,,,,,,,,,,
33,21,3,2,10,3.69,0.219,76.15,,,,,,,,,,,,,,
